Date,open,high,low,close,Volume,Volume MA
1990-06-01T13:30:00Z,459.5,469.4,453.2,462.3,NaN,NaN
1990-07-02T13:30:00Z,461.6,470.3,436.8,438.2,NaN,NaN
1990-08-01T13:30:00Z,437.7,438.6,359.7,381.2,NaN,NaN
1990-09-03T13:30:00Z,379,385.2,334.6,344.5,NaN,NaN
1990-10-01T13:30:00Z,349,360.9,323,329.8,NaN,NaN
1990-11-01T14:30:00Z,328.6,359.1,327.8,359.1,NaN,NaN
1990-12-03T14:30:00Z,361.1,378,359.8,373.8,NaN,NaN
1991-01-01T14:30:00Z,373,414.2,353,414.2,NaN,NaN
1991-02-01T14:30:00Z,415.1,454.2,413.5,453.1,NaN,NaN
1991-03-01T14:30:00Z,450.6,483.3,450.3,482.3,NaN,NaN
1991-04-01T14:30:00Z,480.2,512.7,479.1,484.7,NaN,NaN
1991-05-01T13:30:00Z,481.9,506.1,476.6,506.1,NaN,NaN
1991-06-03T13:30:00Z,505.8,508,470.9,475.9,NaN,NaN
1991-07-01T13:30:00Z,478.1,502.1,471.2,502,NaN,NaN
1991-08-01T13:30:00Z,502.3,527.7,487.1,525.7,NaN,NaN
1991-09-02T13:30:00Z,526.3,529.2,511.1,526.9,NaN,NaN
1991-10-01T13:30:00Z,527.1,543,513.2,543,NaN,NaN
1991-11-01T14:30:00Z,542.2,558.2,516.4,523.9,NaN,NaN
1991-12-02T14:30:00Z,519.5,586.4,518.6,586.3,NaN,NaN
1992-01-01T14:30:00Z,580,633,576.1,620.2,NaN,NaN
1992-02-03T14:30:00Z,620.6,646.1,617.1,633.5,NaN,NaN
1992-03-02T14:30:00Z,634,637.2,599.6,603.8,NaN,NaN
1992-04-01T14:30:00Z,598.6,603.2,557.1,578.7,NaN,NaN
1992-05-01T13:30:00Z,579.7,591.2,571,585.3,NaN,NaN
1992-06-01T13:30:00Z,583.7,591.1,546,563.6,NaN,NaN
1992-07-01T13:30:00Z,563.7,581,553.8,580.8,NaN,NaN
1992-08-03T13:30:00Z,579.6,583.8,550.4,563.1,NaN,NaN
1992-09-01T13:30:00Z,562.5,594.2,562.4,583.3,NaN,NaN
1992-10-01T13:30:00Z,581.1,606.6,551.7,605.2,NaN,NaN
1992-11-02T14:30:00Z,603.8,652.8,603.3,652.7,NaN,NaN
1992-12-01T14:30:00Z,650.6,677,648.8,677,NaN,NaN
1993-01-01T14:30:00Z,675.3,711,670.5,696.3,NaN,NaN
1993-02-01T14:30:00Z,698,711.3,647.8,670.8,NaN,NaN
1993-03-01T14:30:00Z,670.9,697.4,668.7,690.1,NaN,NaN
1993-04-01T14:30:00Z,690.8,691.2,644.7,661.4,NaN,NaN
1993-05-03T13:30:00Z,662.8,707.1,661.4,700.5,NaN,NaN
1993-06-01T13:30:00Z,701,706.6,682.9,704,NaN,NaN
1993-07-01T13:30:00Z,702,714,694.5,704.7,NaN,NaN
1993-08-02T13:30:00Z,706.4,742.9,705.1,742.8,NaN,NaN
1993-09-01T13:30:00Z,743.7,766.6,724.5,762.8,NaN,NaN
1993-10-01T13:30:00Z,761.6,791.2,758.9,779.3,NaN,NaN
1993-11-01T14:30:00Z,780.4,786.1,737.7,754.4,NaN,NaN
1993-12-01T14:30:00Z,759.9,777.02,750.3,776.8,NaN,NaN
1994-01-03T14:30:00Z,774.1,800.6,768.4,800.5,NaN,NaN
1994-02-01T14:30:00Z,800,800,767.3,792.5,NaN,NaN
1994-03-01T14:30:00Z,792.1,804.4,731.9,743.5,NaN,NaN
1994-04-01T14:30:00Z,723.1,755.4,703.4,733.8,NaN,NaN
1994-05-02T13:30:00Z,734,742.5,703.8,735.2,NaN,NaN
1994-06-01T13:30:00Z,733.2,744.9,691,706,NaN,NaN
1994-07-01T13:30:00Z,706.3,725.2,699.4,722.2,NaN,NaN
1994-08-01T13:30:00Z,722.8,767.6,715.9,765.6,NaN,NaN
1994-09-01T13:30:00Z,763,779.6,752.5,764.3,NaN,NaN
1994-10-03T13:30:00Z,764.5,778.8,737.6,777.5,NaN,NaN
1994-11-01T14:30:00Z,776.3,776.9,728.8,750.3,NaN,NaN
1994-12-01T14:30:00Z,748.8,752,710.9,752,NaN,NaN
1995-01-02T14:30:00Z,751.3,774.3,740.5,755.2,NaN,NaN
1995-02-01T14:30:00Z,756.7,796,756.7,793.7,NaN,NaN
1995-03-01T14:30:00Z,794.3,829.9,790.3,817.2,NaN,NaN
1995-04-03T13:30:00Z,816.1,844.4,810.9,844,NaN,NaN
1995-05-01T13:30:00Z,844.7,885.9,839.4,864.6,NaN,NaN
1995-06-01T13:30:00Z,865.7,941.2,863.8,933.5,NaN,NaN
1995-07-03T13:30:00Z,934,1023,932,1001.2,NaN,NaN
1995-08-01T13:30:00Z,1001.6,1035.2,970.8,1020.1,NaN,NaN
1995-09-01T13:30:00Z,1019.4,1070.2,1008.4,1043.5,NaN,NaN
1995-10-02T13:30:00Z,1041.4,1050.7,959.4,1036.1,NaN,NaN
1995-11-01T14:30:00Z,1037.3,1068.8,1016.6,1059.2,NaN,NaN
1995-12-01T14:30:00Z,1060.7,1074.8,1001.5,1052.1,NaN,NaN
1996-01-01T14:30:00Z,1052.8,1059.8,977.8,1059.8,NaN,NaN
1996-02-01T14:30:00Z,1058.3,1121.9,1057.8,1100.1,NaN,NaN
1996-03-01T14:30:00Z,1098.9,1119.89,1057.9,1101.4,NaN,NaN
1996-04-01T14:30:00Z,1101.4,1191.17,1092.23,1190.52,NaN,NaN
1996-05-01T13:30:00Z,1190.52,1252.92,1163.02,1243.43,NaN,NaN
1996-06-03T13:30:00Z,1243.43,1254.32,1147.58,1185.02,NaN,NaN
1996-07-01T13:30:00Z,1185.02,1199.98,1008.44,1080.59,NaN,NaN
1996-08-01T13:30:00Z,1080.59,1154.03,1080.41,1141.5,NaN,NaN
1996-09-02T13:30:00Z,1141.5,1237.26,1123.14,1226.92,NaN,NaN
1996-10-01T13:30:00Z,1226.92,1269.62,1193.97,1221.51,NaN,NaN
1996-11-01T14:30:00Z,1221.51,1293.75,1218.23,1292.61,NaN,NaN
1996-12-02T14:30:00Z,1299.82,1328.95,1251.03,1291.03,NaN,NaN
1997-01-01T14:30:00Z,1291.03,1441.43,1272.34,1379.85,NaN,NaN
1997-02-03T14:30:00Z,1379.85,1384.51,1251.67,1309,NaN,NaN
1997-03-03T14:30:00Z,1309,1332.49,1213.68,1221.7,NaN,NaN
1997-04-01T14:30:00Z,1237.64,1267.41,1125.42,1260.76,NaN,NaN
1997-05-01T13:30:00Z,1250.39,1414.26,1250.39,1400.32,NaN,NaN
1997-06-02T13:30:00Z,1400.32,1458.85,1375.45,1442.07,NaN,NaN
1997-07-01T13:30:00Z,1442.07,1595.76,1432.42,1593.81,NaN,NaN
1997-08-01T13:30:00Z,1593.81,1638.49,1545.13,1587.32,NaN,NaN
1997-09-01T13:30:00Z,1587.32,1702.95,1587.32,1685.69,NaN,NaN
1997-10-01T13:30:00Z,1685.69,1748.78,1465.84,1593.61,NaN,NaN
1997-11-03T14:30:00Z,1593.61,1654.43,1508.41,1600.55,NaN,NaN
1997-12-01T14:30:00Z,1600.57,1652.84,1486.23,1570.35,NaN,NaN
1998-01-01T14:30:00Z,1570.35,1629.54,1465.61,1619.36,NaN,NaN
1998-02-02T14:30:00Z,1619.36,1783.74,1619.36,1770.51,NaN,NaN
1998-03-02T14:30:00Z,1770.51,1839.95,1708.25,1835.68,NaN,NaN
1998-04-01T14:30:00Z,1835.68,1931.83,1786.43,1868.41,NaN,NaN
1998-05-01T13:30:00Z,1868.41,1890.8,1741.72,1778.87,NaN,NaN
1998-06-01T13:30:00Z,1778.87,1901.46,1715.04,1894.74,NaN,NaN
1998-07-01T13:30:00Z,1894.74,2028.18,1871.72,1872.39,NaN,NaN
1998-08-03T13:30:00Z,1872.39,1874.31,1498.73,1499.25,NaN,NaN
1998-09-01T13:30:00Z,1499.25,1769.71,1475.49,1693.84,NaN,NaN
1998-10-01T13:30:00Z,1693.84,1781.63,1357.09,1771.39,NaN,NaN
1998-11-02T14:30:00Z,1771.4,2025.04,1771.4,1949.86,NaN,NaN
1998-12-01T14:30:00Z,2002.16,2200.63,1924.15,2192.48,NaN,NaN
1999-01-01T14:30:00Z,2192.68,2506.68,2192.68,2505.89,NaN,NaN
1999-02-01T14:30:00Z,2505.89,2533.44,2224.21,2288.03,NaN,NaN
1999-03-01T14:30:00Z,2288.03,2520.63,2235.19,2461.4,NaN,NaN
1999-04-01T14:30:00Z,2461.4,2677.76,2329.87,2542.85,NaN,NaN
1999-05-03T13:30:00Z,2542.85,2632.74,2339.12,2470.52,NaN,NaN
1999-06-01T13:30:00Z,2470.52,2696.87,2364.59,2686.12,NaN,NaN
1999-07-01T13:30:00Z,2686.12,2874.92,2619.08,2638.52,NaN,NaN
1999-08-02T13:30:00Z,2638.52,2819.9,2442.22,2739.35,NaN,NaN
1999-09-01T13:30:00Z,2739.35,2897.53,2684.7,2746.16,NaN,NaN
1999-10-01T13:30:00Z,2739.77,2978.63,2632.01,2966.43,NaN,NaN
1999-11-01T14:30:00Z,2970.93,3469.35,2967.63,3336.16,NaN,NaN
1999-12-01T14:30:00Z,3341.1,4090.61,3321.57,4069.31,NaN,NaN
2000-01-03T14:30:00Z,4186.19,4303.15,3711.09,3940.35,NaN,NaN
2000-02-01T14:30:00Z,3961.07,4698.46,3911.84,4696.69,NaN,NaN
2000-03-01T14:30:00Z,4732.82,5132.52,4355.69,4572.83,NaN,NaN
2000-04-03T13:30:00Z,4572.83,4572.84,3227.04,3860.66,NaN,NaN
2000-05-01T13:30:00Z,3899.71,3982.38,3042.66,3400.91,NaN,NaN
